Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Ndhiwa,Brown Swiss,5,69,Mixed,27,5818
Ndhiwa,Guernsey,2,107,Grazing,22,11994
Ndhiwa,Ayrshire,1,50,Grazing,16,7315
Rachuonyo South,Guernsey,6,57,Mixed,25,2755
Suba South,Holstein-Friesian,4,86,Grazing,26,10813
Rachuonyo East,Ayrshire,6,51,Mixed,29,2194
Suba North,Guernsey,5,60,Zero-grazing,20,7107
Rachuonyo East,Guernsey,2,106,Grazing,27,11093
Rachuonyo East,Ayrshire,2,117,Mixed,21,9105
Rachuonyo East,Brown Swiss,3,112,Mixed,24,11437
Suba South,Jersey,5,62,Mixed,29,8474
Rachuonyo South,Jersey,3,90,Zero-grazing,20,11446
Rachuonyo North,Jersey,1,57,Grazing,22,7502
Suba North,Holstein-Friesian,4,99,Grazing,27,11425
Rachuonyo North,Holstein-Friesian,5,60,Grazing,28,8054
Homa Bay Town,Ayrshire,3,115,Grazing,25,8708
Homa Bay Town,Brown Swiss,6,55,Zero-grazing,19,3092
Ndhiwa,Ayrshire,3,90,Grazing,19,10790
Rachuonyo South,Guernsey,7,76,Grazing,26,7492
Suba South,Brown Swiss,2,87,Grazing,17,11938
Rachuonyo South,Jersey,7,65,Mixed,29,5350
Homa Bay Town,Holstein-Friesian,3,120,Grazing,16,9565
Rachuonyo North,Jersey,4,103,Grazing,23,10705
Suba South,Jersey,2,115,Zero-grazing,15,10990
Rachuonyo North,Holstein-Friesian,1,52,Mixed,23,8303
Suba North,Jersey,7,70,Zero-grazing,27,5432
Ndhiwa,Ayrshire,1,57,Grazing,28,6369
Homa Bay Town,Guernsey,4,92,Mixed,28,8821
Rachuonyo South,Ayrshire,6,69,Mixed,28,2868
Ndhiwa,Brown Swiss,2,80,Grazing,20,10626
Homa Bay Town,Ayrshire,1,74,Zero-grazing,20,7295
Rachuonyo East,Holstein-Friesian,3,108,Mixed,19,11653
Suba South,Jersey,6,58,Grazing,17,2816
Suba South,Brown Swiss,3,89,Mixed,18,11859
Suba North,Holstein-Friesian,1,64,Mixed,19,7211
Suba South,Guernsey,6,52,Zero-grazing,19,3244
Ndhiwa,Guernsey,4,93,Grazing,27,10891
Rachuonyo North,Jersey,5,64,Grazing,18,5524
Ndhiwa,Brown Swiss,1,56,Zero-grazing,24,6948
Rachuonyo North,Ayrshire,5,76,Mixed,16,7304
Homa Bay Town,Brown Swiss,4,106,Mixed,26,10749
Suba South,Guernsey,7,54,Mixed,30,5244
Suba South,Ayrshire,2,107,Zero-grazing,23,9149
Rachuonyo South,Holstein-Friesian,1,78,Zero-grazing,18,7635
Rachuonyo South,Holstein-Friesian,5,55,Mixed,26,7143
Rachuonyo South,Holstein-Friesian,5,61,Mixed,25,5506
Ndhiwa,Ayrshire,2,105,Grazing,27,9237
Ndhiwa,Jersey,6,69,Mixed,15,3282
Homa Bay Town,Jersey,2,97,Zero-grazing,17,9419
Rachuonyo East,Holstein-Friesian,7,76,Grazing,22,6308
Rachuonyo East,Ayrshire,1,65,Zero-grazing,27,5040
Rachuonyo North,Jersey,2,100,Zero-grazing,19,8531
Rachuonyo North,Guernsey,4,86,Mixed,19,8850
Rachuonyo South,Ayrshire,1,70,Mixed,29,7334
Homa Bay Town,Guernsey,7,79,Zero-grazing,25,6244
Rachuonyo East,Guernsey,6,67,Mixed,17,2744
Ndhiwa,Ayrshire,6,53,Grazing,22,2425
Rachuonyo South,Brown Swiss,5,52,Mixed,15,5821
Homa Bay Town,Jersey,4,95,Zero-grazing,22,11362
Rachuonyo South,Brown Swiss,5,56,Grazing,15,6587
Rachuonyo East,Ayrshire,4,105,Mixed,15,10495
Rachuonyo South,Brown Swiss,7,63,Grazing,19,5837
Homa Bay Town,Jersey,2,91,Grazing,25,10157
Homa Bay Town,Jersey,3,109,Mixed,19,11182
Rachuonyo East,Holstein-Friesian,7,62,Grazing,22,7627
Rachuonyo East,Brown Swiss,5,61,Grazing,23,5819
Rachuonyo North,Brown Swiss,3,115,Zero-grazing,16,11041
Rachuonyo East,Ayrshire,7,53,Grazing,29,7726
Rachuonyo North,Ayrshire,6,51,Zero-grazing,20,2296
Rachuonyo North,Brown Swiss,6,58,Grazing,29,3035
Suba South,Ayrshire,1,70,Grazing,30,8249
Ndhiwa,Guernsey,6,62,Mixed,27,2583
Suba North,Jersey,1,64,Mixed,18,5081
Homa Bay Town,Holstein-Friesian,7,78,Grazing,18,7410
Rachuonyo East,Jersey,5,79,Grazing,21,6526
Homa Bay Town,Brown Swiss,1,71,Mixed,15,7300
Rachuonyo East,Holstein-Friesian,6,58,Grazing,18,2219
Ndhiwa,Brown Swiss,4,90,Mixed,19,11418
Rachuonyo South,Ayrshire,1,80,Grazing,28,7349
Rachuonyo East,Guernsey,1,70,Zero-grazing,23,7553
Suba South,Holstein-Friesian,2,91,Mixed,23,11073
Rachuonyo East,Jersey,1,72,Zero-grazing,22,7023
Suba South,Guernsey,7,53,Grazing,20,6150
Ndhiwa,Ayrshire,7,67,Mixed,15,5660
Rachuonyo South,Ayrshire,1,67,Mixed,17,6776
Rachuonyo South,Holstein-Friesian,1,71,Grazing,26,5122
Rachuonyo North,Holstein-Friesian,4,95,Grazing,16,9948
Rachuonyo East,Brown Swiss,5,65,Grazing,20,7138
Ndhiwa,Ayrshire,1,65,Mixed,20,7356
Rachuonyo East,Brown Swiss,7,58,Zero-grazing,20,7135
Rachuonyo East,Ayrshire,4,86,Grazing,19,10297
Suba North,Holstein-Friesian,7,61,Mixed,15,7735
Rachuonyo North,Jersey,3,91,Zero-grazing,25,9162
Suba North,Guernsey,3,86,Zero-grazing,27,9447
Suba South,Guernsey,7,58,Mixed,28,6038
Suba North,Jersey,5,60,Grazing,22,7990
Ndhiwa,Holstein-Friesian,2,114,Mixed,26,11484
Suba South,Holstein-Friesian,1,54,Grazing,20,8163
Rachuonyo South,Guernsey,3,117,Zero-grazing,18,10129
Homa Bay Town,Brown Swiss,6,56,Grazing,17,2214
Rachuonyo North,Guernsey,4,96,Zero-grazing,19,10502
Suba South,Brown Swiss,6,65,Mixed,19,2569
Homa Bay Town,Brown Swiss,1,63,Grazing,22,7337
Rachuonyo North,Holstein-Friesian,4,103,Grazing,28,11981
Homa Bay Town,Brown Swiss,3,97,Grazing,17,11945
Rachuonyo North,Jersey,3,100,Mixed,18,9720
Suba North,Holstein-Friesian,4,81,Mixed,19,9139
Ndhiwa,Ayrshire,3,105,Grazing,27,11297
Rachuonyo East,Brown Swiss,4,90,Grazing,20,9278
Rachuonyo North,Jersey,6,59,Mixed,24,3032
Rachuonyo North,Jersey,6,69,Grazing,26,2051
Rachuonyo North,Guernsey,3,120,Zero-grazing,20,10931
Suba South,Guernsey,4,81,Grazing,17,11900
Homa Bay Town,Brown Swiss,7,79,Zero-grazing,16,8435
Suba South,Guernsey,2,120,Grazing,15,10772
Suba South,Ayrshire,5,80,Zero-grazing,22,6690
Rachuonyo South,Brown Swiss,6,50,Zero-grazing,20,2201
Ndhiwa,Guernsey,5,54,Zero-grazing,22,5277
Rachuonyo North,Jersey,4,117,Grazing,24,11163
Homa Bay Town,Jersey,6,53,Grazing,30,2676
Homa Bay Town,Ayrshire,3,90,Grazing,23,11943
Rachuonyo South,Brown Swiss,3,108,Mixed,15,11172
Suba North,Ayrshire,6,58,Mixed,20,2590
Ndhiwa,Holstein-Friesian,2,99,Zero-grazing,21,8743
Rachuonyo South,Brown Swiss,1,73,Mixed,18,6639
Rachuonyo South,Ayrshire,2,81,Grazing,19,8526
Rachuonyo East,Jersey,3,82,Grazing,20,11689
Ndhiwa,Guernsey,7,78,Mixed,23,6178
Homa Bay Town,Brown Swiss,1,70,Mixed,26,8484
Homa Bay Town,Holstein-Friesian,7,55,Grazing,19,5689
Homa Bay Town,Guernsey,7,57,Zero-grazing,16,5455
Suba South,Brown Swiss,2,117,Mixed,29,11053
Suba South,Ayrshire,5,59,Grazing,29,6915
Rachuonyo South,Brown Swiss,4,117,Zero-grazing,25,11919
Homa Bay Town,Brown Swiss,2,113,Mixed,22,10457
Suba North,Holstein-Friesian,4,80,Grazing,22,9692
Suba South,Brown Swiss,1,57,Mixed,29,7306
Rachuonyo East,Ayrshire,4,90,Mixed,26,9834
Suba South,Holstein-Friesian,5,77,Grazing,25,7944
Rachuonyo North,Guernsey,4,101,Mixed,24,8830
Ndhiwa,Ayrshire,5,69,Grazing,24,5099
Rachuonyo East,Jersey,2,95,Mixed,25,11901
Rachuonyo North,Brown Swiss,2,116,Mixed,26,10102
Suba South,Holstein-Friesian,7,55,Zero-grazing,23,5426
Rachuonyo East,Jersey,1,68,Zero-grazing,28,7822
Ndhiwa,Jersey,6,69,Zero-grazing,23,3811
Ndhiwa,Jersey,6,69,Grazing,15,3335
Suba South,Guernsey,6,66,Zero-grazing,25,2980
Homa Bay Town,Ayrshire,5,64,Zero-grazing,26,7612
Suba South,Ayrshire,3,117,Mixed,19,11780
Rachuonyo East,Guernsey,4,111,Mixed,26,9961
Rachuonyo East,Jersey,2,102,Grazing,15,11227
Suba North,Brown Swiss,4,102,Zero-grazing,19,9516
Rachuonyo East,Jersey,7,75,Grazing,20,6441
Rachuonyo East,Jersey,4,90,Mixed,28,9502
Rachuonyo North,Holstein-Friesian,7,74,Grazing,16,6142
Homa Bay Town,Guernsey,7,52,Zero-grazing,22,7403
Suba South,Brown Swiss,4,119,Mixed,21,9890
Rachuonyo South,Ayrshire,2,102,Zero-grazing,24,10732
Rachuonyo South,Jersey,2,85,Zero-grazing,21,10917
Ndhiwa,Jersey,1,59,Zero-grazing,26,7466
Ndhiwa,Holstein-Friesian,7,63,Mixed,29,7682
Rachuonyo East,Jersey,7,54,Zero-grazing,16,5256
Homa Bay Town,Brown Swiss,3,93,Zero-grazing,23,11070
Rachuonyo North,Brown Swiss,2,112,Mixed,27,10417
Rachuonyo South,Holstein-Friesian,1,68,Grazing,26,5440
Suba North,Holstein-Friesian,3,107,Grazing,15,11500
Rachuonyo South,Guernsey,4,108,Grazing,23,10618
Suba South,Jersey,5,77,Grazing,25,5824
Suba North,Holstein-Friesian,5,57,Mixed,16,8474
Rachuonyo South,Brown Swiss,6,59,Grazing,21,2291
Homa Bay Town,Guernsey,4,119,Mixed,22,11832
Rachuonyo South,Holstein-Friesian,1,55,Mixed,28,8282
Suba North,Jersey,1,57,Zero-grazing,22,8070
Rachuonyo North,Guernsey,2,97,Zero-grazing,15,8885
Rachuonyo North,Jersey,5,67,Zero-grazing,22,7225
Rachuonyo North,Guernsey,7,74,Mixed,17,8009
Ndhiwa,Guernsey,7,52,Zero-grazing,29,6650
Homa Bay Town,Holstein-Friesian,3,93,Grazing,26,9457
Homa Bay Town,Holstein-Friesian,3,87,Zero-grazing,20,11911
Homa Bay Town,Guernsey,6,65,Mixed,21,2759
Rachuonyo East,Guernsey,2,120,Zero-grazing,27,9638
Suba South,Jersey,1,71,Grazing,17,6569
Ndhiwa,Ayrshire,6,65,Grazing,16,3008
Homa Bay Town,Brown Swiss,3,86,Grazing,26,9165
Rachuonyo North,Ayrshire,2,118,Mixed,26,10569
Homa Bay Town,Brown Swiss,1,50,Zero-grazing,22,6575
Suba North,Ayrshire,6,60,Mixed,19,3623
Rachuonyo North,Ayrshire,7,57,Mixed,26,6735
Rachuonyo East,Jersey,2,81,Mixed,20,10286
Rachuonyo North,Holstein-Friesian,7,54,Zero-grazing,26,6033
Rachuonyo East,Holstein-Friesian,4,94,Grazing,22,11524
Ndhiwa,Holstein-Friesian,7,55,Mixed,15,6736
Rachuonyo South,Guernsey,1,64,Grazing,29,6525
Rachuonyo South,Jersey,7,77,Mixed,25,7822
Suba South,Brown Swiss,6,61,Grazing,29,2901
Ndhiwa,Brown Swiss,4,116,Mixed,17,9508
Rachuonyo East,Brown Swiss,4,84,Zero-grazing,28,9680
Suba North,Ayrshire,7,50,Zero-grazing,17,7734
Rachuonyo North,Jersey,3,119,Mixed,28,9951
Homa Bay Town,Holstein-Friesian,7,58,Zero-grazing,16,6461
Suba South,Holstein-Friesian,2,91,Grazing,19,11384
Rachuonyo East,Jersey,3,80,Mixed,24,10935
Suba North,Jersey,6,66,Zero-grazing,24,3518
Suba South,Jersey,5,63,Mixed,23,8366
Rachuonyo North,Holstein-Friesian,5,61,Mixed,28,7681
Suba North,Ayrshire,1,62,Mixed,30,6152
Suba South,Guernsey,1,68,Grazing,20,5748
Homa Bay Town,Ayrshire,7,72,Grazing,17,7930
Ndhiwa,Brown Swiss,3,82,Mixed,29,11670
Suba South,Brown Swiss,6,67,Zero-grazing,30,2504
Rachuonyo East,Brown Swiss,5,71,Mixed,18,6836
Suba South,Holstein-Friesian,2,97,Mixed,23,11947
Rachuonyo South,Ayrshire,1,72,Mixed,28,5647
Rachuonyo South,Brown Swiss,6,52,Grazing,28,2858
Suba North,Ayrshire,2,104,Grazing,17,10652
Rachuonyo East,Jersey,5,71,Mixed,18,7697
Suba South,Ayrshire,1,71,Zero-grazing,23,5433
Rachuonyo North,Brown Swiss,5,61,Grazing,29,8203
Rachuonyo East,Guernsey,2,82,Grazing,17,10014
Rachuonyo North,Holstein-Friesian,2,107,Zero-grazing,22,10700
Rachuonyo South,Guernsey,4,112,Grazing,21,11478
Rachuonyo East,Guernsey,5,68,Zero-grazing,21,7201
Rachuonyo South,Guernsey,6,53,Grazing,23,2603
Suba South,Holstein-Friesian,4,85,Grazing,18,9322
Rachuonyo East,Guernsey,5,52,Grazing,29,8296
Rachuonyo North,Guernsey,3,94,Zero-grazing,15,9261
Ndhiwa,Brown Swiss,6,51,Mixed,23,2289
Ndhiwa,Guernsey,5,75,Grazing,27,8155
Homa Bay Town,Brown Swiss,2,111,Mixed,20,11053
Rachuonyo South,Holstein-Friesian,2,114,Grazing,15,10143
Rachuonyo North,Brown Swiss,5,70,Grazing,26,7826
Suba North,Guernsey,3,111,Mixed,15,10129
Rachuonyo North,Holstein-Friesian,6,55,Grazing,22,3474
Homa Bay Town,Ayrshire,7,59,Mixed,25,5129
Rachuonyo North,Brown Swiss,5,63,Grazing,30,6486
Ndhiwa,Jersey,1,76,Grazing,21,8096
Rachuonyo North,Ayrshire,6,65,Grazing,20,3264
Rachuonyo East,Holstein-Friesian,2,106,Mixed,26,11058
Ndhiwa,Guernsey,7,58,Grazing,29,5388
Rachuonyo North,Brown Swiss,3,81,Grazing,30,9639
Suba North,Jersey,3,91,Zero-grazing,15,10817
Rachuonyo East,Brown Swiss,1,77,Mixed,25,7238
Rachuonyo North,Jersey,3,108,Mixed,19,8604
Rachuonyo North,Holstein-Friesian,7,63,Mixed,29,6685
Ndhiwa,Guernsey,7,63,Zero-grazing,24,7851
Rachuonyo North,Guernsey,3,84,Mixed,23,9130
Ndhiwa,Guernsey,1,53,Mixed,22,5610
Rachuonyo North,Ayrshire,4,103,Mixed,24,11483
Homa Bay Town,Holstein-Friesian,1,69,Zero-grazing,22,8230
Rachuonyo North,Brown Swiss,5,75,Zero-grazing,26,5971
Rachuonyo North,Holstein-Friesian,3,83,Zero-grazing,22,10284
Suba South,Jersey,5,51,Grazing,26,5610
Rachuonyo South,Jersey,6,54,Mixed,17,2375
Ndhiwa,Jersey,4,113,Zero-grazing,30,9055
Suba North,Holstein-Friesian,1,76,Zero-grazing,16,7086
Suba South,Jersey,7,75,Grazing,18,5165
Suba North,Brown Swiss,6,53,Mixed,16,2724
Ndhiwa,Jersey,3,113,Zero-grazing,18,9765
Ndhiwa,Guernsey,2,90,Mixed,17,9641
Suba North,Holstein-Friesian,6,67,Grazing,22,3103
Homa Bay Town,Jersey,1,74,Grazing,27,8367
Ndhiwa,Brown Swiss,1,59,Mixed,19,8214
Rachuonyo North,Jersey,1,50,Mixed,15,7472
Rachuonyo South,Ayrshire,7,78,Grazing,21,6594
Homa Bay Town,Holstein-Friesian,1,53,Grazing,21,7544
Suba North,Holstein-Friesian,2,109,Mixed,20,11154
Rachuonyo South,Guernsey,6,62,Grazing,24,2743
Ndhiwa,Guernsey,2,85,Grazing,19,10894
Rachuonyo North,Brown Swiss,4,84,Mixed,25,8518
Rachuonyo North,Holstein-Friesian,3,92,Zero-grazing,22,11249
Homa Bay Town,Holstein-Friesian,5,66,Zero-grazing,24,7207
Rachuonyo East,Jersey,2,88,Mixed,20,10691
Homa Bay Town,Ayrshire,7,68,Mixed,20,7833
Suba North,Ayrshire,4,104,Mixed,20,8696
Homa Bay Town,Holstein-Friesian,7,52,Mixed,27,5935
Rachuonyo East,Guernsey,5,57,Mixed,17,6035
Rachuonyo East,Jersey,4,90,Mixed,16,9192
Ndhiwa,Ayrshire,5,63,Zero-grazing,21,7074
Rachuonyo East,Jersey,1,55,Grazing,16,7221
Rachuonyo North,Holstein-Friesian,5,61,Mixed,21,6959
Rachuonyo North,Jersey,1,68,Grazing,25,8362
Ndhiwa,Brown Swiss,1,60,Zero-grazing,22,7519
Rachuonyo East,Guernsey,3,83,Grazing,23,11932
Ndhiwa,Ayrshire,7,70,Zero-grazing,18,7377
Ndhiwa,Jersey,6,66,Zero-grazing,29,2266
Homa Bay Town,Brown Swiss,6,61,Mixed,17,2750
Rachuonyo East,Brown Swiss,3,99,Grazing,24,11719
Suba North,Guernsey,1,56,Zero-grazing,16,6689
Suba South,Brown Swiss,2,106,Mixed,30,11981
Rachuonyo East,Holstein-Friesian,4,118,Zero-grazing,20,8850
Rachuonyo North,Brown Swiss,2,83,Zero-grazing,20,11014
Homa Bay Town,Guernsey,4,90,Grazing,24,10719
Ndhiwa,Jersey,2,102,Zero-grazing,24,11808
Homa Bay Town,Holstein-Friesian,6,62,Grazing,17,2950
Ndhiwa,Holstein-Friesian,2,81,Grazing,25,10947
Rachuonyo East,Brown Swiss,7,54,Mixed,22,6170
Rachuonyo North,Guernsey,6,70,Mixed,30,3781
Rachuonyo South,Holstein-Friesian,2,87,Zero-grazing,29,11944
Suba North,Jersey,1,68,Grazing,22,5384
Ndhiwa,Jersey,3,83,Zero-grazing,15,9686
Suba South,Jersey,6,68,Grazing,19,3926
Rachuonyo South,Brown Swiss,6,64,Zero-grazing,26,3017
Ndhiwa,Holstein-Friesian,4,100,Zero-grazing,15,9305
Rachuonyo South,Jersey,4,87,Mixed,22,9000
Rachuonyo North,Ayrshire,4,113,Zero-grazing,28,10264
Rachuonyo South,Guernsey,1,52,Zero-grazing,22,6720
Rachuonyo South,Guernsey,3,107,Grazing,28,11461
Rachuonyo North,Brown Swiss,6,51,Grazing,17,2727
Rachuonyo East,Ayrshire,3,105,Grazing,21,8570
Rachuonyo South,Ayrshire,4,115,Zero-grazing,29,11179
Rachuonyo North,Ayrshire,7,58,Zero-grazing,27,7014
Homa Bay Town,Jersey,3,105,Grazing,28,11648
Ndhiwa,Brown Swiss,4,119,Zero-grazing,28,9201
Rachuonyo North,Holstein-Friesian,6,57,Zero-grazing,18,2250
Rachuonyo North,Jersey,2,110,Grazing,28,9532
Suba South,Guernsey,5,73,Grazing,28,6560
Homa Bay Town,Brown Swiss,7,50,Zero-grazing,25,8260
Rachuonyo North,Brown Swiss,2,119,Mixed,18,10637
Ndhiwa,Ayrshire,3,118,Mixed,22,8552
Rachuonyo North,Guernsey,6,58,Zero-grazing,21,2881
Ndhiwa,Holstein-Friesian,1,50,Mixed,26,5644
Suba South,Brown Swiss,7,51,Grazing,18,6271
Suba North,Holstein-Friesian,2,88,Zero-grazing,27,10279
Ndhiwa,Jersey,6,50,Mixed,22,3592
Rachuonyo North,Ayrshire,4,108,Mixed,22,9605
Suba North,Ayrshire,6,58,Mixed,22,3378
Ndhiwa,Ayrshire,3,107,Grazing,17,8941
Suba South,Ayrshire,3,108,Mixed,18,8775
Rachuonyo North,Brown Swiss,7,80,Zero-grazing,19,8187
Rachuonyo East,Jersey,3,100,Mixed,25,11615
Suba North,Brown Swiss,6,68,Mixed,22,3179
Rachuonyo South,Holstein-Friesian,1,75,Zero-grazing,21,5024
Rachuonyo North,Holstein-Friesian,3,118,Mixed,18,8634
Rachuonyo East,Brown Swiss,6,59,Zero-grazing,25,3427
Rachuonyo North,Guernsey,3,96,Mixed,28,9447
Homa Bay Town,Holstein-Friesian,1,62,Zero-grazing,29,6013
Rachuonyo East,Jersey,7,53,Mixed,16,6998
Ndhiwa,Guernsey,2,80,Zero-grazing,18,10138
Homa Bay Town,Guernsey,6,59,Zero-grazing,22,3949
Rachuonyo South,Guernsey,5,68,Grazing,21,7240
Rachuonyo East,Ayrshire,2,90,Grazing,22,10789
Suba South,Ayrshire,7,75,Mixed,25,5749
Homa Bay Town,Holstein-Friesian,3,109,Grazing,27,9214
Homa Bay Town,Jersey,1,67,Grazing,26,7021
Ndhiwa,Jersey,3,81,Mixed,27,11538
Rachuonyo South,Holstein-Friesian,5,71,Mixed,24,7360
Rachuonyo South,Guernsey,5,59,Grazing,27,7016
Rachuonyo East,Brown Swiss,1,60,Zero-grazing,18,7534
Ndhiwa,Ayrshire,3,86,Grazing,28,10117
Rachuonyo South,Brown Swiss,7,74,Mixed,22,7317
Suba North,Guernsey,1,80,Grazing,21,8253
Homa Bay Town,Holstein-Friesian,2,103,Grazing,22,11637
Rachuonyo East,Brown Swiss,6,50,Mixed,21,3252
Homa Bay Town,Holstein-Friesian,5,80,Mixed,21,8228
Suba North,Jersey,7,75,Zero-grazing,25,6082
Rachuonyo South,Jersey,2,109,Mixed,17,10878
Suba South,Ayrshire,5,73,Mixed,16,6850
Ndhiwa,Jersey,4,106,Zero-grazing,28,9633
Homa Bay Town,Guernsey,1,60,Zero-grazing,23,5050
Homa Bay Town,Guernsey,6,66,Mixed,27,2244
Suba South,Holstein-Friesian,2,111,Grazing,18,11709
Homa Bay Town,Brown Swiss,3,88,Zero-grazing,22,10919
Suba South,Jersey,4,92,Zero-grazing,15,10768
Rachuonyo East,Holstein-Friesian,1,74,Mixed,23,5247
Homa Bay Town,Brown Swiss,7,70,Zero-grazing,18,7859
Ndhiwa,Brown Swiss,1,74,Grazing,25,7357
Rachuonyo North,Holstein-Friesian,6,56,Grazing,25,3670
Ndhiwa,Guernsey,7,74,Mixed,16,6204
Rachuonyo South,Jersey,5,73,Grazing,25,5655
Homa Bay Town,Jersey,5,58,Grazing,18,5834
Suba North,Holstein-Friesian,6,58,Mixed,24,3469
Rachuonyo East,Brown Swiss,3,97,Zero-grazing,23,10942
Rachuonyo North,Guernsey,2,85,Zero-grazing,28,11998
Rachuonyo South,Ayrshire,1,54,Zero-grazing,23,5739
Homa Bay Town,Guernsey,2,110,Grazing,29,8935
Ndhiwa,Jersey,1,63,Zero-grazing,23,7566
Suba North,Jersey,6,63,Zero-grazing,17,3751
Rachuonyo East,Jersey,3,100,Grazing,15,10686
Ndhiwa,Guernsey,6,62,Zero-grazing,21,2054
Ndhiwa,Jersey,2,108,Zero-grazing,29,8959
Rachuonyo South,Ayrshire,2,93,Mixed,20,10368
Homa Bay Town,Jersey,5,73,Zero-grazing,29,7829
Rachuonyo North,Brown Swiss,5,63,Grazing,15,6454
Rachuonyo East,Guernsey,3,96,Mixed,18,10183
Ndhiwa,Guernsey,7,55,Zero-grazing,23,8401
Rachuonyo North,Ayrshire,5,71,Grazing,22,6156
Ndhiwa,Ayrshire,4,86,Grazing,20,9703
Rachuonyo South,Jersey,4,89,Grazing,18,10890
Rachuonyo South,Jersey,2,97,Zero-grazing,22,10263
Rachuonyo South,Jersey,4,87,Zero-grazing,27,10980
Rachuonyo South,Ayrshire,5,54,Zero-grazing,20,8334
Suba South,Holstein-Friesian,7,54,Grazing,19,6755
Ndhiwa,Brown Swiss,6,65,Zero-grazing,22,2984
Homa Bay Town,Ayrshire,4,81,Zero-grazing,23,11784
Ndhiwa,Ayrshire,5,77,Grazing,16,7837
Rachuonyo South,Jersey,4,83,Mixed,18,10732
Ndhiwa,Holstein-Friesian,4,91,Grazing,30,11839
Rachuonyo East,Guernsey,1,71,Grazing,27,5955
Homa Bay Town,Brown Swiss,6,52,Zero-grazing,23,3071
Homa Bay Town,Jersey,4,103,Zero-grazing,18,11218
Homa Bay Town,Ayrshire,2,116,Mixed,18,9330
Suba North,Ayrshire,5,66,Zero-grazing,30,8390
Rachuonyo South,Holstein-Friesian,6,65,Grazing,18,3536
Rachuonyo South,Guernsey,5,58,Grazing,16,8005
Rachuonyo East,Ayrshire,2,98,Zero-grazing,21,11087
Rachuonyo North,Jersey,3,114,Mixed,30,9005
Suba North,Holstein-Friesian,2,107,Mixed,26,11992
Ndhiwa,Guernsey,1,73,Zero-grazing,27,7202
Rachuonyo South,Jersey,3,104,Zero-grazing,17,10052
Homa Bay Town,Ayrshire,3,87,Grazing,18,8661
Rachuonyo East,Brown Swiss,1,75,Mixed,18,5499
Ndhiwa,Jersey,5,74,Grazing,23,7734
Suba South,Jersey,4,95,Zero-grazing,16,11341
Rachuonyo East,Guernsey,6,64,Mixed,15,3727
Rachuonyo North,Guernsey,4,111,Mixed,23,10092
Rachuonyo East,Jersey,3,108,Zero-grazing,25,11635
Rachuonyo South,Brown Swiss,3,93,Mixed,21,10276
Homa Bay Town,Guernsey,4,94,Mixed,29,11151
Rachuonyo South,Holstein-Friesian,3,109,Zero-grazing,29,11650
Suba South,Guernsey,5,73,Grazing,15,7909
Rachuonyo North,Holstein-Friesian,4,116,Mixed,23,11200
Rachuonyo North,Brown Swiss,6,67,Grazing,24,3890
Rachuonyo East,Brown Swiss,2,81,Mixed,23,9502
Rachuonyo North,Brown Swiss,7,70,Mixed,25,6311
Suba North,Jersey,3,97,Mixed,18,11203
Suba South,Brown Swiss,5,59,Zero-grazing,30,7724
Rachuonyo East,Jersey,6,53,Zero-grazing,15,2426
Ndhiwa,Ayrshire,4,92,Grazing,28,10358
Suba North,Ayrshire,1,73,Zero-grazing,16,7145
Rachuonyo South,Guernsey,4,89,Grazing,30,11581
Suba South,Guernsey,6,66,Mixed,30,3463
Ndhiwa,Jersey,6,60,Grazing,25,3896
Rachuonyo South,Brown Swiss,4,117,Zero-grazing,16,8974
Ndhiwa,Jersey,3,85,Grazing,23,9170
Ndhiwa,Holstein-Friesian,4,118,Zero-grazing,24,9281
Rachuonyo South,Ayrshire,5,62,Grazing,19,7828
Rachuonyo East,Guernsey,7,64,Grazing,17,6292
Suba North,Brown Swiss,1,75,Mixed,18,7220
Suba South,Holstein-Friesian,5,59,Zero-grazing,24,7201
Rachuonyo South,Guernsey,1,68,Grazing,17,6351
Suba South,Jersey,6,67,Grazing,22,3388
Rachuonyo North,Holstein-Friesian,7,68,Zero-grazing,17,5057
Rachuonyo North,Guernsey,7,78,Grazing,23,6687
Rachuonyo North,Holstein-Friesian,6,66,Mixed,27,3300
Suba South,Holstein-Friesian,2,117,Mixed,21,9602
Rachuonyo South,Guernsey,2,93,Grazing,17,10192
Rachuonyo South,Guernsey,6,59,Zero-grazing,26,3580
Rachuonyo East,Holstein-Friesian,1,80,Grazing,21,5621
Suba South,Jersey,5,67,Zero-grazing,18,7007
Ndhiwa,Holstein-Friesian,3,80,Mixed,26,11295
Rachuonyo South,Holstein-Friesian,5,79,Grazing,18,7734
Suba South,Jersey,7,51,Mixed,29,5092
Rachuonyo East,Brown Swiss,2,83,Mixed,24,10260
Suba North,Holstein-Friesian,3,97,Grazing,27,8682
Suba North,Ayrshire,7,75,Zero-grazing,18,5394
Rachuonyo East,Guernsey,3,84,Mixed,22,11496
Rachuonyo North,Ayrshire,6,64,Zero-grazing,28,2925
Homa Bay Town,Brown Swiss,7,54,Zero-grazing,28,8390
Homa Bay Town,Guernsey,5,64,Grazing,22,5309
Suba North,Jersey,1,69,Mixed,15,7938
Rachuonyo South,Jersey,2,81,Mixed,28,11249
Suba South,Holstein-Friesian,6,66,Grazing,19,3198
